Source,Geography,Race,SES Vulnerability,Cause,Deaths
Georgia,Fulton,White,Very Low,All Other Diseases of the Nervous System,161.0
NCHS,Fulton,White,Very Low,All other Diseases of the Nervous System,161.0
OASIS,Fulton,White,Very Low,All other Diseases of the Nervous System,161.0
Georgia,Fulton,Black or African-American,Very High,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",122.0
Georgia,Fulton,White,Very Low,Ischemic Heart and Vascular Disease,101.0
Georgia,Fulton,White,Very Low,Alzheimers Disease,95.0
NCHS,Fulton,White,Very Low,Alzheimer's Disease,95.0
OASIS,Fulton,White,Very Low,Alzheimer's Disease,95.0
Georgia,Fulton,Black or African-American,Very High,Ischemic Heart and Vascular Disease,92.0
NCHS,Fulton,White,Very Low,Obstructive Heart Disease (incl. Heart Attack),85.0
OASIS,Fulton,White,Very Low,Obstructive Heart Disease (incl. Heart Attack),85.0
Georgia,Fulton,White,Very Low,Cerebrovascular Disease,84.0
OASIS,Fulton,White,Very Low,Stroke,84.0
NCHS,Fulton,White,Very Low,Stroke,84.0
OASIS,Fulton,Black or African-American,Very High,Stroke,84.0
NCHS,Fulton,Black or African-American,Very High,Stroke,84.0
Georgia,Fulton,Black or African-American,Very High,Cerebrovascular Disease,84.0
Georgia,DeKalb,White,Very Low,All Other Diseases of the Nervous System,81.0
OASIS,DeKalb,White,Very Low,All other Diseases of the Nervous System,81.0
NCHS,DeKalb,White,Very Low,All other Diseases of the Nervous System,81.0
NCHS,Fulton,Black or African-American,Very High,Hypertensive Heart Disease,80.0
OASIS,Fulton,Black or African-American,Very High,Hypertensive Heart Disease,80.0
Georgia,DeKalb,Black or African-American,High,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",79.0
Georgia,Fulton,Black or African-American,High,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",77.0
OASIS,Fulton,Black or African-American,Very High,Obstructive Heart Disease (incl. Heart Attack),76.0
NCHS,Fulton,Black or African-American,Very High,Obstructive Heart Disease (incl. Heart Attack),76.0
Georgia,Fulton,Black or African-American,Very High,Assault (Homicide),75.0
OASIS,Fulton,Black or African-American,Very High,Assault (Homicide),75.0
NCHS,Fulton,Black or African-American,Very High,Assault (Homicide),75.0
Georgia,Fulton,Black or African-American,High,Ischemic Heart and Vascular Disease,71.0
Georgia,DeKalb,Black or African-American,High,Ischemic Heart and Vascular Disease,69.0
Georgia,Fulton,Black or African-American,Very High,Diabetes Mellitus,68.0
OASIS,Fulton,White,Low,All other Diseases of the Nervous System,68.0
NCHS,Fulton,White,Low,All other Diseases of the Nervous System,68.0
Georgia,Fulton,White,Low,All Other Diseases of the Nervous System,68.0
OASIS,Fulton,Black or African-American,Very High,Diabetes,68.0
NCHS,Fulton,Black or African-American,Very High,Diabetes,68.0
OASIS,DeKalb,Black or African-American,High,Obstructive Heart Disease (incl. Heart Attack),65.0
NCHS,DeKalb,Black or African-American,High,Obstructive Heart Disease (incl. Heart Attack),65.0
OASIS,Fulton,Black or African-American,High,Obstructive Heart Disease (incl. Heart Attack),63.0
NCHS,Fulton,Black or African-American,High,Obstructive Heart Disease (incl. Heart Attack),63.0
Georgia,Fulton,White,Very Low,"Malignant Neoplasms of the Trachea, Bronchus and Lung",61.0
NCHS,Fulton,Black or African-American,Very High,Poisoning,61.0
Georgia,Fulton,Black or African-American,Very High,Accidental Poisoning and Exposure to Noxious Substances,61.0
OASIS,Fulton,Black or African-American,Very High,Poisoning,61.0
OASIS,Fulton,White,Very Low,Lung Cancer,61.0
Georgia,DeKalb,Black or African-American,Very High,Ischemic Heart and Vascular Disease,61.0
NCHS,Fulton,White,Very Low,Lung Cancer,61.0
OASIS,DeKalb,Black or African-American,Very High,Stroke,60.0
NCHS,DeKalb,Black or African-American,Very High,Stroke,60.0
Georgia,DeKalb,Black or African-American,Very High,Cerebrovascular Disease,60.0
Georgia,DeKalb,Black or African-American,Very High,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",57.0
Georgia,DeKalb,White,Very Low,Ischemic Heart and Vascular Disease,57.0
OASIS,DeKalb,Black or African-American,Very High,Obstructive Heart Disease (incl. Heart Attack),56.0
NCHS,DeKalb,Black or African-American,Very High,Obstructive Heart Disease (incl. Heart Attack),56.0
OASIS,Fulton,White,Low,Alzheimer's Disease,55.0
OASIS,Fulton,White,Very Low,All other Mental and Behavioral Disorders,55.0
NCHS,Fulton,White,Low,Alzheimer's Disease,55.0
NCHS,Fulton,White,Very Low,All other Mental and Behavioral Disorders,55.0
Georgia,Fulton,White,Low,Alzheimers Disease,55.0
Georgia,Fulton,White,Very Low,All Other Mental and Behavioral Disorders,55.0
NCHS,DeKalb,White,Very Low,Obstructive Heart Disease (incl. Heart Attack),53.0
OASIS,DeKalb,White,Very Low,Obstructive Heart Disease (incl. Heart Attack),53.0
OASIS,DeKalb,Black or African-American,Very High,Assault (Homicide),52.0
NCHS,DeKalb,Black or African-American,Very High,Assault (Homicide),52.0
Georgia,Fulton,White,Very Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",52.0
Georgia,DeKalb,Black or African-American,Very High,Assault (Homicide),52.0
OASIS,Fulton,Black or African-American,Very High,Lung Cancer,50.0
OASIS,DeKalb,Black or African-American,High,Hypertensive Heart Disease,50.0
Georgia,Fulton,Black or African-American,Average,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",50.0
NCHS,Fulton,Black or African-American,Very High,Lung Cancer,50.0
Georgia,Fulton,Black or African-American,Very High,"Malignant Neoplasms of the Trachea, Bronchus and Lung",50.0
NCHS,DeKalb,Black or African-American,High,Hypertensive Heart Disease,50.0
OASIS,Fulton,Black or African-American,High,Stroke,49.0
OASIS,DeKalb,Black or African-American,Very High,All other Diseases of the Nervous System,49.0
OASIS,DeKalb,White,Very Low,Alzheimer's Disease,49.0
NCHS,Fulton,Black or African-American,High,Stroke,49.0
Georgia,DeKalb,White,Very Low,Alzheimers Disease,49.0
NCHS,DeKalb,Black or African-American,Very High,All other Diseases of the Nervous System,49.0
Georgia,DeKalb,Black or African-American,Very High,All Other Diseases of the Nervous System,49.0
NCHS,DeKalb,White,Very Low,Alzheimer's Disease,49.0
Georgia,Fulton,Black or African-American,High,Cerebrovascular Disease,49.0
OASIS,DeKalb,Black or African-American,Low,All other Diseases of the Nervous System,48.0
Georgia,DeKalb,Black or African-American,Low,All Other Diseases of the Nervous System,48.0
NCHS,DeKalb,Black or African-American,Low,All other Diseases of the Nervous System,48.0
Georgia,DeKalb,Black or African-American,Low,Ischemic Heart and Vascular Disease,48.0
OASIS,Fulton,White,Very Low,"All other Endocrine, Nutritional and Metabolic Diseases",48.0
Georgia,Fulton,White,Very Low,"All Other Endocrine, Nutritional and Metabolic Diseases",48.0
NCHS,Fulton,White,Very Low,"All other Endocrine, Nutritional and Metabolic Diseases",48.0
Georgia,Fulton,White,Very Low,All COPD Except Asthma,47.0
Georgia,DeKalb,Black or African-American,High,Cerebrovascular Disease,46.0
OASIS,DeKalb,Black or African-American,High,Stroke,46.0
NCHS,DeKalb,Black or African-American,High,Stroke,46.0
NCHS,Fulton,Black or African-American,High,Hypertensive Heart Disease,45.0
Georgia,DeKalb,White,Very Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",45.0
OASIS,Fulton,Black or African-American,High,Hypertensive Heart Disease,45.0
Georgia,Fulton,Black or African-American,Average,Ischemic Heart and Vascular Disease,44.0
NCHS,Fulton,Black or African-American,Very High,Kidney Diseases,43.0
Georgia,Fulton,Black or African-American,Very High,"Nephritis, Nephrotic Syndrome and Nephrosis",43.0
OASIS,Fulton,Black or African-American,Very High,Kidney Diseases,43.0
OASIS,DeKalb,Black or African-American,Very High,Hypertensive Heart Disease,42.0
NCHS,Fulton,White,Very Low,All other Chronic Lower Respiratory Diseases,42.0
OASIS,DeKalb,Black or African-American,Low,Obstructive Heart Disease (incl. Heart Attack),42.0
Georgia,Fulton,Black or African-American,Very High,All Other Diseases of the Nervous System,42.0
OASIS,Fulton,Black or African-American,Very High,All other Diseases of the Nervous System,42.0
OASIS,DeKalb,Black or African-American,High,Diabetes,42.0
Georgia,DeKalb,Black or African-American,High,Diabetes Mellitus,42.0
NCHS,DeKalb,Black or African-American,High,Diabetes,42.0
NCHS,Fulton,Black or African-American,Very High,All other Diseases of the Nervous System,42.0
OASIS,Fulton,White,Very Low,All other Chronic Lower Respiratory Diseases,42.0
NCHS,DeKalb,Black or African-American,Very High,Hypertensive Heart Disease,42.0
NCHS,DeKalb,Black or African-American,Low,Obstructive Heart Disease (incl. Heart Attack),42.0
Georgia,DeKalb,Black or African-American,Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",41.0
OASIS,Fulton,White,Very Low,Intentional Self-Harm (Suicide),41.0
Georgia,Fulton,White,Very Low,Intentional Self-Harm (Suicide),41.0
NCHS,Fulton,White,Very Low,Intentional Self-Harm (Suicide),41.0
NCHS,Fulton,Black or African-American,Average,Obstructive Heart Disease (incl. Heart Attack),40.0
OASIS,DeKalb,Black or African-American,High,All other Diseases of the Nervous System,40.0
OASIS,Fulton,Black or African-American,Average,Obstructive Heart Disease (incl. Heart Attack),40.0
NCHS,DeKalb,Black or African-American,High,All other Diseases of the Nervous System,40.0
Georgia,DeKalb,Black or African-American,High,All Other Diseases of the Nervous System,40.0
OASIS,Fulton,Black or African-American,High,Assault (Homicide),39.0
NCHS,Fulton,Black or African-American,High,Assault (Homicide),39.0
Georgia,Fulton,Black or African-American,High,Assault (Homicide),39.0
Georgia,DeKalb,Black or African-American,Average,Ischemic Heart and Vascular Disease,39.0
OASIS,DeKalb,White,Low,All other Diseases of the Nervous System,38.0
NCHS,DeKalb,White,Low,All other Diseases of the Nervous System,38.0
Georgia,DeKalb,White,Low,All Other Diseases of the Nervous System,38.0
NCHS,Fulton,Black or African-American,Very High,Alzheimer's Disease,37.0
Georgia,Fulton,Black or African-American,High,All Other Diseases of the Nervous System,37.0
Georgia,Fulton,Black or African-American,Very High,Alzheimers Disease,37.0
OASIS,Fulton,Black or African-American,Very High,Alzheimer's Disease,37.0
Georgia,Fulton,Black or African-American,Average,All Other Diseases of the Nervous System,37.0
OASIS,Fulton,White,Very Low,Parkinson's Disease,37.0
Georgia,DeKalb,Black or African-American,Very High,Diabetes Mellitus,37.0
NCHS,DeKalb,White,Very Low,Stroke,37.0
Georgia,Fulton,White,Very Low,Parkinsons Disease,37.0
OASIS,Fulton,Black or African-American,High,All other Diseases of the Nervous System,37.0
OASIS,DeKalb,Black or African-American,Very High,Diabetes,37.0
Georgia,DeKalb,White,Very Low,Cerebrovascular Disease,37.0
Georgia,Fulton,Black or African-American,Very Low,Ischemic Heart and Vascular Disease,37.0
OASIS,Fulton,Black or African-American,Average,All other Diseases of the Nervous System,37.0
NCHS,Fulton,Black or African-American,Average,All other Diseases of the Nervous System,37.0
NCHS,DeKalb,Black or African-American,Very High,Diabetes,37.0
NCHS,Fulton,Black or African-American,High,All other Diseases of the Nervous System,37.0
OASIS,DeKalb,White,Very Low,Stroke,37.0
OASIS,Fulton,White,Very Low,Hypertensive Heart Disease,37.0
NCHS,Fulton,White,Very Low,Parkinson's Disease,37.0
NCHS,Fulton,White,Very Low,Hypertensive Heart Disease,37.0
Georgia,Fulton,White,Very Low,"Malignant Neoplasms of Colon, Rectum and Anus",36.0
NCHS,Fulton,White,Very Low,Colon Cancer,36.0
OASIS,Fulton,White,Very Low,Colon Cancer,36.0
OASIS,Fulton,White,Very Low,Poisoning,35.0
OASIS,DeKalb,White,Very Low,Hypertensive Heart Disease,35.0
NCHS,Fulton,White,Very Low,Poisoning,35.0
Georgia,Fulton,White,Very Low,Accidental Poisoning and Exposure to Noxious Substances,35.0
NCHS,DeKalb,White,Very Low,Hypertensive Heart Disease,35.0
Georgia,DeKalb,Black or African-American,Average,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",35.0
Georgia,Fulton,Black or African-American,Very Low,Cerebrovascular Disease,34.0
Georgia,DeKalb,Black or African-American,Very High,Motor Vehicle Crashes,34.0
NCHS,DeKalb,Black or African-American,Very High,Poisoning,34.0
Georgia,DeKalb,White,Very Low,All COPD Except Asthma,34.0
Georgia,Fulton,Black or African-American,Very Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",34.0
NCHS,Fulton,Black or African-American,Very Low,Stroke,34.0
NCHS,Fulton,White,Average,All other Diseases of the Nervous System,34.0
NCHS,DeKalb,Black or African-American,Very High,Motor Vehicle Crashes (MVC),34.0
OASIS,DeKalb,Black or African-American,Very High,Motor Vehicle Crashes (MVC),34.0
Georgia,DeKalb,Black or African-American,Very High,Accidental Poisoning and Exposure to Noxious Substances,34.0
OASIS,DeKalb,Black or African-American,Very High,Poisoning,34.0
OASIS,Fulton,Black or African-American,Very Low,Stroke,34.0
OASIS,Fulton,White,Average,All other Diseases of the Nervous System,34.0
Georgia,Fulton,White,Average,All Other Diseases of the Nervous System,34.0
OASIS,DeKalb,White,Very Low,All other Chronic Lower Respiratory Diseases,33.0
NCHS,Fulton,Black or African-American,Very Low,Obstructive Heart Disease (incl. Heart Attack),33.0
OASIS,DeKalb,Black or African-American,High,Assault (Homicide),33.0
OASIS,Fulton,Black or African-American,Average,Stroke,33.0
OASIS,DeKalb,Black or African-American,Average,Obstructive Heart Disease (incl. Heart Attack),33.0
NCHS,DeKalb,Black or African-American,Average,Obstructive Heart Disease (incl. Heart Attack),33.0
NCHS,DeKalb,Black or African-American,High,Assault (Homicide),33.0
Georgia,DeKalb,Black or African-American,High,Assault (Homicide),33.0
Georgia,Fulton,Black or African-American,Average,Cerebrovascular Disease,33.0
NCHS,Fulton,Black or African-American,Average,Stroke,33.0
OASIS,Fulton,Black or African-American,Very Low,Obstructive Heart Disease (incl. Heart Attack),33.0
NCHS,DeKalb,White,Very Low,All other Chronic Lower Respiratory Diseases,33.0
Georgia,DeKalb,White,Low,Ischemic Heart and Vascular Disease,33.0
Georgia,Fulton,Black or African-American,Low,Ischemic Heart and Vascular Disease,33.0
NCHS,DeKalb,Black or African-American,Low,Stroke,32.0
OASIS,DeKalb,Black or African-American,Low,Stroke,32.0
Georgia,DeKalb,Black or African-American,Low,Cerebrovascular Disease,32.0
OASIS,DeKalb,White,Low,Obstructive Heart Disease (incl. Heart Attack),32.0
NCHS,Fulton,Black or African-American,High,Lung Cancer,32.0
NCHS,DeKalb,White,Low,Obstructive Heart Disease (incl. Heart Attack),32.0
Georgia,Fulton,Black or African-American,Very High,"All Other Endocrine, Nutritional and Metabolic Diseases",32.0
Georgia,Fulton,Black or African-American,High,"Malignant Neoplasms of the Trachea, Bronchus and Lung",32.0
OASIS,Fulton,Black or African-American,High,Lung Cancer,32.0
NCHS,Fulton,Black or African-American,Very High,"All other Endocrine, Nutritional and Metabolic Diseases",32.0
OASIS,Fulton,Black or African-American,Very High,"All other Endocrine, Nutritional and Metabolic Diseases",32.0
OASIS,Fulton,Black or African-American,Low,Stroke,31.0
NCHS,Fulton,Black or African-American,Low,Stroke,31.0
Georgia,DeKalb,Black or African-American,Very High,"Malignant Neoplasms of the Trachea, Bronchus and Lung",31.0
Georgia,Fulton,White,Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",31.0
NCHS,DeKalb,Black or African-American,Very High,Lung Cancer,31.0
OASIS,DeKalb,Black or African-American,Very High,Lung Cancer,31.0
Georgia,Fulton,Black or African-American,Low,Cerebrovascular Disease,31.0
Georgia,Fulton,White,Low,Ischemic Heart and Vascular Disease,31.0
NCHS,DeKalb,Black or African-American,Low,Kidney Diseases,30.0
Georgia,Fulton,Black or African-American,Very High,All COPD Except Asthma,30.0
Georgia,Fulton,Black or African-American,High,Diabetes Mellitus,30.0
OASIS,Fulton,Black or African-American,Very High,All other Mental and Behavioral Disorders,30.0
NCHS,Fulton,Black or African-American,Very High,High Blood Pressure (Hypertension),30.0
Georgia,Fulton,Black or African-American,Very High,All Other Mental and Behavioral Disorders,30.0
Georgia,DeKalb,Black or African-American,Low,"Nephritis, Nephrotic Syndrome and Nephrosis",30.0
OASIS,DeKalb,Black or African-American,Low,Kidney Diseases,30.0
OASIS,Fulton,Black or African-American,Low,Obstructive Heart Disease (incl. Heart Attack),30.0
NCHS,Fulton,Black or African-American,Very High,All other Mental and Behavioral Disorders,30.0
NCHS,Fulton,Black or African-American,Low,Obstructive Heart Disease (incl. Heart Attack),30.0
OASIS,Fulton,Black or African-American,High,Diabetes,30.0
NCHS,Fulton,Black or African-American,High,Diabetes,30.0
OASIS,Fulton,Black or African-American,Very High,High Blood Pressure (Hypertension),30.0
OASIS,DeKalb,Black or African-American,High,"All other Endocrine, Nutritional and Metabolic Diseases",29.0
NCHS,DeKalb,Black or African-American,High,Alzheimer's Disease,29.0
NCHS,DeKalb,Black or African-American,High,"All other Endocrine, Nutritional and Metabolic Diseases",29.0
Georgia,DeKalb,Black or African-American,High,"All Other Endocrine, Nutritional and Metabolic Diseases",29.0
Georgia,DeKalb,Black or African-American,High,Accidental Poisoning and Exposure to Noxious Substances,29.0
NCHS,DeKalb,Black or African-American,Low,Diabetes,29.0
NCHS,Fulton,Black or African-American,Average,Alzheimer's Disease,29.0
NCHS,Fulton,White,Very Low,Blood Poisoning,29.0
Georgia,Fulton,White,Very Low,Septicemia,29.0
NCHS,Fulton,White,Low,Obstructive Heart Disease (incl. Heart Attack),29.0
Georgia,DeKalb,Black or African-American,High,Alzheimers Disease,29.0
OASIS,DeKalb,Black or African-American,High,Alzheimer's Disease,29.0
OASIS,DeKalb,Black or African-American,Low,Diabetes,29.0
OASIS,Fulton,Black or African-American,Average,Alzheimer's Disease,29.0
Georgia,Fulton,Black or African-American,Average,Alzheimers Disease,29.0
Georgia,DeKalb,Black or African-American,Low,Diabetes Mellitus,29.0
OASIS,Fulton,White,Low,Obstructive Heart Disease (incl. Heart Attack),29.0
OASIS,DeKalb,Black or African-American,High,Poisoning,29.0
NCHS,DeKalb,Black or African-American,High,Poisoning,29.0
Georgia,DeKalb,Black or African-American,Low,Alzheimers Disease,28.0
OASIS,Fulton,White,Very Low,Breast Cancer,28.0
OASIS,DeKalb,Black or African-American,Low,Alzheimer's Disease,28.0
OASIS,Fulton,White,Very Low,Pancreatic Cancer,28.0
Georgia,DeKalb,Black or African-American,High,"Malignant Neoplasms of the Trachea, Bronchus and Lung",28.0
NCHS,Fulton,White,Very Low,Breast Cancer,28.0
NCHS,Fulton,White,Very Low,Pancreatic Cancer,28.0
Georgia,Fulton,White,Very Low,Malignant Neoplasm of Pancreas,28.0
OASIS,DeKalb,White,Low,Alzheimer's Disease,28.0
NCHS,DeKalb,Black or African-American,High,Lung Cancer,28.0
NCHS,DeKalb,Black or African-American,Low,Alzheimer's Disease,28.0
OASIS,DeKalb,Black or African-American,High,Lung Cancer,28.0
Georgia,Fulton,White,Very Low,Malignant Neoplasm of the Breast,28.0
NCHS,DeKalb,White,Low,Alzheimer's Disease,28.0
Georgia,DeKalb,White,Low,Alzheimers Disease,28.0
NCHS,DeKalb,Black or African-American,Low,Hypertensive Heart Disease,27.0
OASIS,Fulton,Black or African-American,Average,Diabetes,27.0
OASIS,Fulton,Black or African-American,High,Alzheimer's Disease,27.0
Georgia,DeKalb,Black or African-American,Low,"All Other Endocrine, Nutritional and Metabolic Diseases",27.0
OASIS,Fulton,Black or African-American,Average,Hypertensive Heart Disease,27.0
OASIS,DeKalb,Black or African-American,Low,Hypertensive Heart Disease,27.0
Georgia,Fulton,Black or African-American,Average,Diabetes Mellitus,27.0
NCHS,Fulton,Black or African-American,Average,Diabetes,27.0
OASIS,DeKalb,Black or African-American,Low,"All other Endocrine, Nutritional and Metabolic Diseases",27.0
NCHS,Fulton,Black or African-American,Average,Hypertensive Heart Disease,27.0
NCHS,Fulton,Black or African-American,High,Alzheimer's Disease,27.0
NCHS,DeKalb,Black or African-American,Low,"All other Endocrine, Nutritional and Metabolic Diseases",27.0
Georgia,Fulton,Black or African-American,High,Alzheimers Disease,27.0
NCHS,DeKalb,Black or African-American,Very High,Alzheimer's Disease,26.0
OASIS,DeKalb,Black or African-American,Very High,Alzheimer's Disease,26.0
OASIS,Fulton,Black or African-American,Very High,All other Chronic Lower Respiratory Diseases,26.0
Georgia,DeKalb,Black or African-American,Very High,Alzheimers Disease,26.0
Georgia,Fulton,Black or African-American,Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",26.0
NCHS,Fulton,Black or African-American,Very High,All other Chronic Lower Respiratory Diseases,26.0
Georgia,DeKalb,White,Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",26.0
Georgia,DeKalb,White,High,Ischemic Heart and Vascular Disease,25.0
Georgia,Fulton,White,Low,Cerebrovascular Disease,25.0
OASIS,Fulton,White,Low,Stroke,25.0
Georgia,Fulton,Black or African-American,High,"All Other Endocrine, Nutritional and Metabolic Diseases",25.0
OASIS,Fulton,White,Very Low,Kidney Diseases,25.0
OASIS,DeKalb,White,Low,Stroke,25.0
OASIS,Fulton,Black or African-American,High,Poisoning,25.0
Georgia,Fulton,Black or African-American,High,Accidental Poisoning and Exposure to Noxious Substances,25.0
Georgia,DeKalb,White,Low,Cerebrovascular Disease,25.0
NCHS,Fulton,White,Low,Stroke,25.0
NCHS,DeKalb,White,Low,Stroke,25.0
NCHS,Fulton,Black or African-American,High,"All other Endocrine, Nutritional and Metabolic Diseases",25.0
Georgia,Fulton,Black or African-American,Very High,Septicemia,25.0
Georgia,Fulton,Black or African-American,Very High,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",25.0
OASIS,Fulton,Black or African-American,High,"All other Endocrine, Nutritional and Metabolic Diseases",25.0
NCHS,Fulton,Black or African-American,High,Poisoning,25.0
Georgia,Fulton,White,Very Low,"Nephritis, Nephrotic Syndrome and Nephrosis",25.0
NCHS,Fulton,White,Very Low,Kidney Diseases,25.0
NCHS,Fulton,Black or African-American,Very High,Blood Poisoning,25.0
NCHS,DeKalb,Black or African-American,Very High,"All other Endocrine, Nutritional and Metabolic Diseases",24.0
NCHS,Fulton,Black or African-American,High,Colon Cancer,24.0
NCHS,Fulton,Black or African-American,Very Low,Hypertensive Heart Disease,24.0
OASIS,DeKalb,Black or African-American,High,Kidney Diseases,24.0
OASIS,DeKalb,Black or African-American,Very High,"All other Endocrine, Nutritional and Metabolic Diseases",24.0
NCHS,DeKalb,Black or African-American,High,Kidney Diseases,24.0
Georgia,Fulton,Black or African-American,High,"Malignant Neoplasms of Colon, Rectum and Anus",24.0
Georgia,DeKalb,Black or African-American,Very High,All COPD Except Asthma,24.0
OASIS,Fulton,Black or African-American,High,Colon Cancer,24.0
Georgia,DeKalb,Black or African-American,Very High,"All Other Endocrine, Nutritional and Metabolic Diseases",24.0
Georgia,DeKalb,Black or African-American,High,"Nephritis, Nephrotic Syndrome and Nephrosis",24.0
OASIS,Fulton,Black or African-American,Very Low,Hypertensive Heart Disease,24.0
Georgia,DeKalb,White,Low,All Other Mental and Behavioral Disorders,23.0
Georgia,Fulton,White,Average,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",23.0
Georgia,Fulton,Black or African-American,Very Low,All Other Diseases of the Nervous System,23.0
Georgia,Fulton,White,Low,All COPD Except Asthma,23.0
OASIS,Fulton,Black or African-American,High,Kidney Diseases,23.0
Georgia,DeKalb,White,Very Low,"Malignant Neoplasms of the Trachea, Bronchus and Lung",23.0
OASIS,Fulton,Black or African-American,Very Low,All other Diseases of the Nervous System,23.0
NCHS,DeKalb,White,Low,All other Mental and Behavioral Disorders,23.0
OASIS,DeKalb,White,Low,All other Mental and Behavioral Disorders,23.0
Georgia,Fulton,Black or African-American,High,"Nephritis, Nephrotic Syndrome and Nephrosis",23.0
NCHS,Fulton,Black or African-American,High,Kidney Diseases,23.0
OASIS,DeKalb,Black or African-American,Average,Stroke,23.0
Georgia,DeKalb,Black or African-American,Average,Cerebrovascular Disease,23.0
NCHS,DeKalb,Black or African-American,Average,Stroke,23.0
NCHS,Fulton,Black or African-American,Very Low,All other Diseases of the Nervous System,23.0
OASIS,DeKalb,White,Very Low,Lung Cancer,23.0
NCHS,DeKalb,White,Very Low,Lung Cancer,23.0
Georgia,Fulton,White,Very Low,"Malignant Neoplasm of Prostate, and Testis",22.0
NCHS,Fulton,Black or African-American,Average,Kidney Diseases,22.0
OASIS,Fulton,Black or African-American,High,Motor Vehicle Crashes (MVC),22.0
NCHS,DeKalb,Black or African-American,Average,Hypertensive Heart Disease,22.0
Georgia,Fulton,Black or African-American,Average,"Nephritis, Nephrotic Syndrome and Nephrosis",22.0
NCHS,Fulton,White,Very Low,Prostate Cancer,22.0
OASIS,Fulton,White,Low,"All other Endocrine, Nutritional and Metabolic Diseases",22.0
Georgia,Fulton,White,Very Low,Diabetes Mellitus,22.0
NCHS,Fulton,Black or African-American,Very High,Pancreatic Cancer,22.0
Georgia,DeKalb,Black or African-American,High,Motor Vehicle Crashes,22.0
OASIS,Fulton,Black or African-American,Average,Kidney Diseases,22.0
Georgia,Fulton,Black or African-American,High,Motor Vehicle Crashes,22.0
OASIS,Fulton,Black or African-American,Very High,Pancreatic Cancer,22.0
NCHS,Fulton,White,Very Low,Diabetes,22.0
NCHS,DeKalb,Black or African-American,High,Motor Vehicle Crashes (MVC),22.0
Georgia,Fulton,Black or African-American,High,All COPD Except Asthma,22.0
NCHS,DeKalb,Black or African-American,Very High,All other Chronic Lower Respiratory Diseases,22.0
NCHS,Fulton,White,Low,"All other Endocrine, Nutritional and Metabolic Diseases",22.0
Georgia,Fulton,White,Very Low,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",22.0
OASIS,Fulton,White,Very Low,Prostate Cancer,22.0
Georgia,Fulton,Black or African-American,Very High,Malignant Neoplasm of Pancreas,22.0
OASIS,DeKalb,Black or African-American,Very High,All other Chronic Lower Respiratory Diseases,22.0
Georgia,Fulton,White,Low,"All Other Endocrine, Nutritional and Metabolic Diseases",22.0
NCHS,Fulton,Black or African-American,High,Motor Vehicle Crashes (MVC),22.0
OASIS,Fulton,White,Very Low,Diabetes,22.0
OASIS,DeKalb,Black or African-American,High,Motor Vehicle Crashes (MVC),22.0
OASIS,DeKalb,Black or African-American,Average,Hypertensive Heart Disease,22.0
Georgia,DeKalb,White,Very Low,Malignant Neoplasm of the Breast,21.0
NCHS,DeKalb,Black or African-American,High,Blood Poisoning,21.0
NCHS,DeKalb,Black or African-American,Very High,All other Mental and Behavioral Disorders,21.0
Georgia,DeKalb,Black or African-American,High,Septicemia,21.0
Georgia,Fulton,Black or African-American,High,Septicemia,21.0
NCHS,DeKalb,Black or African-American,High,Intentional Self-Harm (Suicide),21.0
Georgia,Fulton,Black or African-American,Very Low,Diabetes Mellitus,21.0
NCHS,DeKalb,Black or African-American,High,High Blood Pressure (Hypertension),21.0
Georgia,DeKalb,Black or African-American,High,Intentional Self-Harm (Suicide),21.0
NCHS,Fulton,Black or African-American,Average,Assault (Homicide),21.0
OASIS,DeKalb,White,Very Low,Breast Cancer,21.0
Georgia,Fulton,White,Low,"Malignant Neoplasms of the Trachea, Bronchus and Lung",21.0
NCHS,DeKalb,White,Very Low,Breast Cancer,21.0
Georgia,DeKalb,Black or African-American,Low,"Malignant Neoplasms of the Trachea, Bronchus and Lung",21.0
OASIS,Fulton,Black or African-American,High,All other Chronic Lower Respiratory Diseases,21.0
OASIS,DeKalb,Black or African-American,High,High Blood Pressure (Hypertension),21.0
OASIS,DeKalb,Black or African-American,High,Intentional Self-Harm (Suicide),21.0
Georgia,Fulton,Black or African-American,Average,Assault (Homicide),21.0
NCHS,DeKalb,Black or African-American,Low,Lung Cancer,21.0
OASIS,DeKalb,Black or African-American,Very High,All other Mental and Behavioral Disorders,21.0
