Source,Geography,Race,SES Vulnerability,Cause,Deaths
OASIS,DeKalb,Native Hawaiian or Other Pacific Islander,Average,Stroke,0.0
OASIS,DeKalb,Multiracial,Low,Asthma,0.0
OASIS,DeKalb,Multiracial,Low,Birth-Related Infections,0.0
OASIS,DeKalb,Multiracial,Low,Bladder Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Brain Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Breast Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Bronchitis,0.0
OASIS,DeKalb,Multiracial,Low,Cervical Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Colon Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Diabetes,0.0
OASIS,DeKalb,Multiracial,Low,Drowning,0.0
OASIS,DeKalb,Multiracial,Low,Assault (Homicide),0.0
OASIS,DeKalb,Multiracial,High,Neural Tube Defects,0.0
OASIS,DeKalb,Multiracial,High,Obstructive Heart Disease (incl. Heart Attack),0.0
OASIS,DeKalb,Multiracial,High,Oral Cancer,0.0
OASIS,DeKalb,Multiracial,High,Ovarian Cancer,0.0
OASIS,DeKalb,Multiracial,High,Pancreatic Cancer,0.0
OASIS,DeKalb,Multiracial,High,Parkinson's Disease,0.0
OASIS,DeKalb,Multiracial,High,Pneumonia,0.0
OASIS,DeKalb,Multiracial,High,Poisoning,0.0
OASIS,DeKalb,Multiracial,High,Prematurity,0.0
OASIS,DeKalb,Multiracial,Low,Alcoholic Liver Disease,0.0
OASIS,DeKalb,Multiracial,High,Respiratory Distress Syndrome,0.0
OASIS,DeKalb,Multiracial,High,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Multiracial,High,Sickle Cell Anemia,0.0
OASIS,DeKalb,Multiracial,High,Skin Cancer,0.0
OASIS,DeKalb,Multiracial,High,Stomach Cancer,0.0
OASIS,DeKalb,Multiracial,High,Suffocation,0.0
OASIS,DeKalb,Multiracial,High,Testicular Cancer,0.0
OASIS,DeKalb,Multiracial,High,Throat Cancer,0.0
OASIS,DeKalb,Multiracial,High,Uterine Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Accidental Shooting,0.0
OASIS,DeKalb,Multiracial,High,Prostate Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Pneumonia,0.0
OASIS,DeKalb,Multiracial,Low,Poisoning,0.0
OASIS,DeKalb,Multiracial,Low,Prematurity,0.0
OASIS,DeKalb,Multiracial,Low,Prostate Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Respiratory Distress Syndrome,0.0
OASIS,DeKalb,Multiracial,Low,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Multiracial,Low,Sickle Cell Anemia,0.0
OASIS,DeKalb,Multiracial,Low,Skin Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Stomach Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Emphysema,0.0
OASIS,DeKalb,Multiracial,Low,Testicular Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Throat Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Uterine Cancer,0.0
OASIS,DeKalb,Multiracial,Very High,Accidental Shooting,0.0
OASIS,DeKalb,Multiracial,Very High,Alcoholic Liver Disease,0.0
OASIS,DeKalb,Multiracial,Very High,All Other Unintentional Injury,0.0
OASIS,DeKalb,Multiracial,Very High,All other Chronic Liver Disease and Cirrhosis,0.0
OASIS,DeKalb,Multiracial,Very High,All other Chronic Lower Respiratory Diseases,0.0
OASIS,DeKalb,Multiracial,Very High,All other Diseases of the Genitourinary System,0.0
OASIS,DeKalb,Multiracial,Very High,"All other Endocrine, Nutritional and Metabolic Diseases",0.0
OASIS,DeKalb,Multiracial,Low,Suffocation,0.0
OASIS,DeKalb,Multiracial,Low,Falls,0.0
OASIS,DeKalb,Multiracial,Low,Fire and Smoke Exposure,0.0
OASIS,DeKalb,Multiracial,Low,Flu,0.0
OASIS,DeKalb,Multiracial,Low,Hardening of the Arteries,0.0
OASIS,DeKalb,Multiracial,Low,High Blood Pressure (Hypertension),0.0
OASIS,DeKalb,Multiracial,Low,Hypertensive Heart Disease,0.0
OASIS,DeKalb,Multiracial,Low,Hypertensive Heart and Chronic Kidney Disease,0.0
OASIS,DeKalb,Multiracial,Low,Kidney Cancer,0.0
OASIS,DeKalb,Multiracial,Low,Kidney Infections,0.0
