Geography,FIPS,Race,Cause,Age,Sex,Deaths,Source,Percent,Group
Fulton,13121,Selected Races Total,Selected Causes Total,45-49 years,Selected Sexes Total,187.0,OASIS,3.375451263537906,OASIS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,50-54 years,Selected Sexes Total,210.0,Georgia,3.7030506083583146,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,50-54 years,Selected Sexes Total,158.0,Georgia,3.6321839080459775,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,50-54 years,Selected Sexes Total,233.0,NCHS,4.0741388354607455,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,50-54 years,Selected Sexes Total,157.0,OASIS,3.6742335595600277,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,50-54 years,Selected Sexes Total,204.0,OASIS,3.68231046931408,OASIS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,50-54 years,Selected Sexes Total,161.0,NCHS,3.6549375709421112,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,55-59 years,Selected Sexes Total,248.0,NCHS,5.629965947786606,NCHS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,55-59 years,Selected Sexes Total,315.0,NCHS,5.507955936352509,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,55-59 years,Selected Sexes Total,232.0,Georgia,5.333333333333334,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,55-59 years,Selected Sexes Total,309.0,OASIS,5.577617328519856,OASIS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,55-59 years,Selected Sexes Total,310.0,Georgia,5.466408040909893,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,55-59 years,Selected Sexes Total,229.0,OASIS,5.359232389421951,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,60-64 years,Selected Sexes Total,479.0,NCHS,8.375590138136038,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,60-64 years,Selected Sexes Total,333.0,Georgia,7.655172413793103,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,60-64 years,Selected Sexes Total,447.0,OASIS,8.068592057761732,OASIS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,60-64 years,Selected Sexes Total,356.0,NCHS,8.08172531214529,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,60-64 years,Selected Sexes Total,331.0,OASIS,7.746314065059677,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,60-64 years,Selected Sexes Total,454.0,Georgia,8.005642743784165,Georgia - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,65-69 years,Selected Sexes Total,524.0,NCHS,9.162440986186397,NCHS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,65-69 years,Selected Sexes Total,454.0,NCHS,10.306469920544835,NCHS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,65-69 years,Selected Sexes Total,485.0,Georgia,8.552283547875154,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,65-69 years,Selected Sexes Total,434.0,OASIS,10.156798502223262,OASIS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,65-69 years,Selected Sexes Total,438.0,Georgia,10.068965517241379,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,65-69 years,Selected Sexes Total,477.0,OASIS,8.610108303249097,OASIS - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,70-74 years,Selected Sexes Total,502.0,Georgia,11.540229885057471,Georgia - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,70-74 years,Selected Sexes Total,580.0,Georgia,10.227473108799154,Georgia - Fulton
DeKalb,13089,Selected Races Total,Selected Causes Total,70-74 years,Selected Sexes Total,538.0,NCHS,12.213393870601589,NCHS - DeKalb
DeKalb,13089,Selected Races Total,Selected Causes Total,70-74 years,Selected Sexes Total,495.0,OASIS,11.584366955300727,OASIS - DeKalb
Fulton,13121,Selected Races Total,Selected Causes Total,70-74 years,Selected Sexes Total,618.0,NCHS,10.806084979891589,NCHS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,70-74 years,Selected Sexes Total,570.0,OASIS,10.288808664259928,OASIS - Fulton
Fulton,13121,Selected Races Total,Selected Causes Total,75-79 years,Selected Sexes Total,645.0,Georgia,11.373655439957679,Georgia - Fulton
