Source,Geography,Race,Education,Cause,Deaths
NCHS,Fulton,Unknown Race,Less than High School Education,Bladder Cancer,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Birth-Related Infections,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Asthma,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Meningococcal Infection,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Assault (Homicide),0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Aortic Aneurysm and Dissection,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Less than High School Education,Rheumatic Fever and Heart Diseases,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Alzheimer's Disease,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Hardening of the Arteries,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,All other Mental and Behavioral Disorders,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,"All other Endocrine, Nutritional and Metabolic Diseases",0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Parkinsons Disease,0.0
OASIS,DeKalb,Multiracial,Some College or Higher,Drowning,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,All other Diseases of the Genitourinary System,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,All other Chronic Lower Respiratory Diseases,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,All other Chronic Liver Disease and Cirrhosis,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,All Other Unintentional Injury,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Less than High School Education,Sickle Cell Anemia,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Less than High School Education,Skin Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Less than High School Education,Stomach Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Less than High School Education,Stroke,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Alcoholic Liver Disease,0.0
OASIS,DeKalb,Multiracial,Some College or Higher,Cervical Cancer,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Accidental Shooting,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Uterine Cancer,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,All other Diseases of the Nervous System,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Hypertensive Heart Disease,0.0
OASIS,DeKalb,Black or African-American,Less than High School Education,Kidney Infections,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,High Blood Pressure (Hypertension),0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Hardening of the Arteries,0.0
OASIS,DeKalb,Black or African-American,Less than High School Education,Legal Intervention,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,HIV/AIDS,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Flu,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Fire and Smoke Exposure,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Falls,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Emphysema,0.0
OASIS,DeKalb,Multiracial,Some College or Higher,High Blood Pressure (Hypertension),0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,"Nephritis, Nephrotic Syndrome and Nephrosis",0.0
OASIS,DeKalb,Black or African-American,Less than High School Education,Lymph Cancer (Hodgkin's Disease),0.0
OASIS,DeKalb,Multiracial,Some College or Higher,Falls,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Disorders Related to Drug Use,0.0
OASIS,DeKalb,Multiracial,Some College or Higher,Hardening of the Arteries,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Mental and behavioral disorders due to psychoactive substance use,0.0
OASIS,DeKalb,Multiracial,Some College or Higher,Flu,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Diabetes,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Less than High School Education,Respiratory Distress Syndrome,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Colon Cancer,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Cervical Cancer,0.0
OASIS,DeKalb,Black or African-American,Less than High School Education,Ovarian Cancer,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,COVID-19,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Bronchitis,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Breast Cancer,0.0
OASIS,DeKalb,Multiracial,Some College or Higher,Fire and Smoke Exposure,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Brain Cancer,0.0
NCHS,Fulton,Unknown Race,Less than High School Education,Drowning,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Assault (Homicide),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Prematurity,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Poisoning,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Aortic Aneurysm and Dissection,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,"Malignant Neoplasm of Prostate, and Testis",0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Pneumonia,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Malignant Neoplasm of Pancreas,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),All other Other Diseases of Circulatory System,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),All other Mental and Behavioral Disorders,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),"All other Endocrine, Nutritional and Metabolic Diseases",0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Asthma,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),All other Diseases of the Genitourinary System,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,All other Other Diseases of Circulatory System,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),All other Chronic Lower Respiratory Diseases,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),All other Chronic Liver Disease and Cirrhosis,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Pancreatic Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),All Other Unintentional Injury,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Alcoholic Liver Disease,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Accidental Shooting,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Ovarian Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Oral Cancer,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Diseases of the Musculoskeletal System and Connective Tissue,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Obstructive Heart Disease (incl. Heart Attack),0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Testicular Cancer,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Birth-Related Infections,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Parkinson's Disease,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Kidney Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Skin Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Intentional Self-Harm (Suicide),0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Hypertensive Heart and Chronic Kidney Disease,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Sickle Cell Anemia,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Hypertensive Heart Disease,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),High Blood Pressure (Hypertension),0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Hardening of the Arteries,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Flu,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Fire and Smoke Exposure,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Respiratory Distress Syndrome,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Prostate Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Asthma,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Malignant Neoplasm of Stomach,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Emphysema,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Drowning,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Disorders Related to Drug Use,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Diabetes,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Colon Cancer,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Bronchitis,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Cervical Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Bronchitis,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Breast Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Brain Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Bladder Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Birth-Related Infections,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Falls,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Breast Cancer,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Influenza,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Bronchitis,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Hypertensive Heart Disease,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,COVID-19,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,High Blood Pressure (Hypertension),0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Leukemia,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Neural Tube Defects,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Hardening of the Arteries,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Intentional Self-Harm (Suicide),0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Legal Intervention,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Kidney Infections,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Neural Tube Defects,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Lack of Oxygen to the Fetus,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,HIV/AIDS,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Flu,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Ischemic Heart and Vascular Disease,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Fire and Smoke Exposure,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Falls,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Emphysema,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Drowning,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Cervical Cancer,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Legal Intervention,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Disorders Related to Drug Use,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Diabetes,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Colon Cancer,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Lymph Cancer (Hodgkin's Disease),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Motor Vehicle Crashes (MVC),0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Skin Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Meningitis,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Bladder Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Lymph Cancer (Hodgkin's Disease),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Lung Cancer,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Flu,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Liver Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Leukemia,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Respiratory Distress Syndrome,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Blood Poisoning,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Legal Intervention,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Hypertensive Heart and Chronic Kidney Disease,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Falls,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Lack of Oxygen to the Fetus,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Prematurity,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Kidney Infections,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Hodgkins Disease,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Kidney Diseases,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Kidney Cancer,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Human Immunodeficiency Virus (HIV) Disease,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Infections of Kidney,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Brain Cancer,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Malignant Melanoma of the Skin,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Intentional Self-Harm (Suicide),0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Hardening of the Arteries,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Brain Cancer,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Bladder Cancer,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Diabetes,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Colon Cancer,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Cervical Cancer,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Birth-Related Infections,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Asthma,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),COVID-19,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Bronchitis,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Breast Cancer,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Brain Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Stomach Cancer,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Assault (Homicide),0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Bladder Cancer,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Aortic Aneurysm and Dissection,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,All other Other Diseases of Circulatory System,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Birth-Related Infections,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Asthma,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,"Malignant Neoplasms of Colon, Rectum and Anus",0.0
OASIS,DeKalb,Multiracial,Less than High School Education,"All other Endocrine, Nutritional and Metabolic Diseases",0.0
OASIS,DeKalb,Multiracial,Less than High School Education,All other Diseases of the Nervous System,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,All other Diseases of the Genitourinary System,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Assault (Homicide),0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Aortic Aneurysm and Dissection,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,All other Chronic Lower Respiratory Diseases,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Blood Poisoning,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),HIV/AIDS,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Lack of Oxygen to the Fetus,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Kidney Infections,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Kidney Diseases,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Kidney Cancer,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Flu,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Fire and Smoke Exposure,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Intentional Self-Harm (Suicide),0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Hypertensive Heart and Chronic Kidney Disease,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Hypertensive Heart Disease,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,High Blood Pressure (Hypertension),0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Hardening of the Arteries,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Flu,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Breast Cancer,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Falls,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Emphysema,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Drowning,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Disorders Related to Drug Use,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Diabetes,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Falls,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Emphysema,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Colon Cancer,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Cervical Cancer,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Bronchitis,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Drowning,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Disorders Related to Drug Use,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Fire and Smoke Exposure,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Accidental Shooting,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Prostate Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Prematurity,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Poisoning,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Pneumonia,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Parkinson's Disease,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Pancreatic Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Ovarian Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Oral Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Obstructive Heart Disease (incl. Heart Attack),0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Uterine Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Neural Tube Defects,0.0
OASIS,DeKalb,Black or African-American,Some College or Higher,Birth-Related Infections,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Alzheimer's Disease,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Lymph Cancer (Hodgkin's Disease),0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Lung Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Throat Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Liver Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Testicular Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Leukemia,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Legal Intervention,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Lack of Oxygen to the Fetus,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Kidney Infections,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,TB,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Kidney Diseases,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Suffocation,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Stroke,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Motor Vehicle Crashes (MVC),0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),All other Other Diseases of Circulatory System,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,All other Chronic Liver Disease and Cirrhosis,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),All other Mental and Behavioral Disorders,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,All Other Unintentional Injury,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Alcoholic Liver Disease,0.0
OASIS,DeKalb,Multiracial,Less than High School Education,Accidental Shooting,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),"All other Endocrine, Nutritional and Metabolic Diseases",0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),All other Diseases of the Nervous System,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Uterine Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Alzheimer's Disease,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Throat Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Testicular Cancer,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Respiratory Distress Syndrome,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Suffocation,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),All other Chronic Lower Respiratory Diseases,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Stroke,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Stomach Cancer,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Skin Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Aortic Aneurysm and Dissection,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),All other Chronic Liver Disease and Cirrhosis,0.0
Georgia,DeKalb,American Indian or Alaska Native,Some College or Higher,Malignant Neoplasm of the Breast,0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Sickle Cell Anemia,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),All Other Unintentional Injury,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),Alcoholic Liver Disease,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Some College or Higher,Assault (Homicide),0.0
OASIS,DeKalb,Multiracial,High School Diploma or GED (12),Rheumatic Fever and Heart Diseases,0.0
NCHS,Fulton,Unknown Race,High School Diploma or GED (12),All other Diseases of the Genitourinary System,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Hypertensive Heart and Chronic Kidney Disease,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Intentional Self-Harm (Suicide),0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Kidney Cancer,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Sickle Cell Anemia,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Kidney Infections,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Lack of Oxygen to the Fetus,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Legal Intervention,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Leukemia,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Rheumatic Fever and Heart Diseases,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Lymph Cancer (Hodgkin's Disease),0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Respiratory Distress Syndrome,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Neural Tube Defects,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Prostate Cancer,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Oral Cancer,0.0
NCHS,Fulton,Native Hawaiian or Other Pacific Islander,Less than High School Education,Pneumonia,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Poisoning,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Ovarian Cancer,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Pneumonia,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Parkinson's Disease,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Parkinson's Disease,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Pancreatic Cancer,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Ovarian Cancer,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Oral Cancer,0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Prematurity,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Obstructive Heart Disease (incl. Heart Attack),0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Neural Tube Defects,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Motor Vehicle Crashes (MVC),0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Lymph Cancer (Hodgkin's Disease),0.0
OASIS,DeKalb,Asian,High School Diploma or GED (12),Respiratory Distress Syndrome,0.0
OASIS,DeKalb,American Indian or Alaska Native,High School Diploma or GED (12),Prematurity,0.0
OASIS,DeKalb,American Indian or Alaska Native,Some College or Higher,Stroke,0.0
OASIS,DeKalb,American Indian or Alaska Native,Some College or Higher,Suffocation,0.0
